mode,method,period,edge_density,within_sector,between_sector
log_price,granger,0,0.07586206896551724,0.06666666666666667,0.07777777777777778
log_price,granger,1,0.04252873563218391,0.03333333333333333,0.044444444444444446
log_price,granger,2,0.09770114942528736,0.14,0.08888888888888889
log_price,granger,3,0.11494252873563218,0.07333333333333333,0.12361111111111112
log_price,te,0,0.1735632183908046,0.18666666666666668,0.17083333333333334
log_price,te,1,0.22988505747126436,0.25333333333333335,0.225
log_price,te,2,0.26666666666666666,0.18666666666666668,0.2833333333333333
log_price,te,3,0.2206896551724138,0.24666666666666667,0.2152777777777778
log_price,digauss,0,0.09310344827586207,0.1,0.09166666666666666
log_price,digauss,1,0.05632183908045977,0.07333333333333333,0.05277777777777778
log_price,digauss,2,0.15632183908045977,0.19333333333333333,0.1486111111111111
log_price,digauss,3,0.12758620689655173,0.11333333333333333,0.13055555555555556
log_return,granger,0,0.03908045977011494,0.04,0.03888888888888889
log_return,granger,1,0.040229885057471264,0.04,0.04027777777777778
log_return,granger,2,0.1471264367816092,0.12666666666666668,0.15138888888888888
log_return,granger,3,0.021839080459770115,0.07333333333333333,0.011111111111111112
log_return,te,0,0.017241379310344827,0.013333333333333334,0.018055555555555554
log_return,te,1,0.016091954022988506,0.013333333333333334,0.016666666666666666
log_return,te,2,0.01839080459770115,0.02666666666666667,0.016666666666666666
log_return,te,3,0.01839080459770115,0.013333333333333334,0.019444444444444445
log_return,digauss,0,0.07701149425287357,0.09333333333333334,0.07361111111111111
log_return,digauss,1,0.06436781609195402,0.07333333333333333,0.0625
log_return,digauss,2,0.3390804597701149,0.29333333333333333,0.3486111111111111
log_return,digauss,3,0.047126436781609195,0.12,0.03194444444444444
