Date,GOOGL,META,NFLX,DIS,CMCSA,TMUS,XOM,CVX,COP,SLB,EOG,MPC,JPM,BAC,MS,GS,C,WFC,AAPL,MSFT,NVDA,AVGO,AMD,ORCL,UNH,JNJ,LLY,ABBV,PFE,MRK
2016-04-15,-1.4005466090918834,-2.0115952612816295,-1.2412420153230017,-1.0586309442060384,-1.8078257744403228,-2.625294099359032,-0.5251172456263213,-2.1286633898204865,-1.2286349179799407,0.6195166192903627,-2.222225737153475,-1.7847873861689842,-2.080305271731457,-2.1705001336830554,-2.5275197378114163,-1.9365065179926226,-1.9775277202932444,-1.4930636710520624,-1.4469743817580716,-1.4036746833436153,-2.4677381333209607,-1.8632776906732886,-2.889467830578204,-1.2125755025466705,-1.920126983167342,-2.140016906884363,-1.1068229683472208,-1.5193081799980315,-1.3623002420642019,-1.3233338479680572
2016-04-18,-1.3407179587590903,-1.9683304730533462,-1.298361240880729,-0.793440834448958,-1.7308277130427379,-2.6315159035869278,-0.30809066218713005,-1.98598621733285,-1.0874340220413565,0.6900956350033339,-2.0384584112918884,-1.7303245171368216,-2.0506490623363844,-2.125265671831349,-2.532912547704131,-1.9169752598338237,-1.9536323427361901,-1.355811308100621,-1.5321870814714211,-1.3566415029659724,-2.4757298842179414,-1.8512674890881353,-2.8492420791531616,-1.1688937752372788,-1.9050868109650894,-2.067475547620347,-0.9913469100587168,-1.49080877028611,-1.3375784453374635,-1.2781870716692831
2016-04-19,-1.4299752608654,-1.8712160517983476,-1.578892806318916,-0.6891135855793121,-1.7609485987448361,-2.5388262268166737,-0.19370546705079464,-1.8141437297981846,-0.8718281993076867,0.8172000457611828,-1.8628640995303414,-1.7396994105860515,-1.9736979887642812,-2.0519306904361034,-2.4034310244988166,-1.7770197035247006,-1.8887444000673923,-1.1178668974463208,-1.5529608430516144,-1.3606781503170773,-2.509066406725111,-1.9947980074917315,-2.9445156945691457,-1.204616856640266,-1.8218285481751435,-1.9001081106012967,-0.9893192128217738,-1.4685955152116597,-1.2750150777897487,-1.2357497780139832
2016-04-20,-1.440446960575527,-1.8644146503849357,-1.527537603349694,-0.6329471078831315,-1.8854657992187458,-2.4930028178623913,-0.037674120007198324,-1.7022201816909088,-0.8697826358944623,0.9000082123982381,-1.8382288715567445,-1.6245916993639409,-1.9073157689435283,-1.9294598634637077,-2.2401774296737034,-1.6141037744251931,-1.7526679375418708,-0.9895461529727032,-1.5449295519968498,-1.4071862330803544,-2.501945044517665,-1.9300518973699703,-2.889467830578204,-1.1966659589380926,-1.7181235739041876,-1.8150401104008287,-1.0008164662088501,-1.4449666665500527,-1.1997591434144113,-1.2696804877584373
2016-04-21,-1.4005466090918834,-1.8113248651879792,-1.5652399305620692,-0.6649999282850734,-1.9652903526646681,-2.477804202146229,-0.04031088010236104,-1.7293762848779246,-0.9575425544421818,0.8531161902923213,-1.859780208664424,-1.4979542511778805,-1.9533934154774166,-1.9369977000291108,-2.265573112681918,-1.6760560414439107,-1.7696524091956112,-1.0794429781263177,-1.5874642094110833,-1.3960810297340986,-2.503976641504611,-1.9863529714597064,-2.9445156945691457,-1.2185524592474581,-1.747179713278389,-1.815982658794674,-0.9812193375234302,-1.3777983717640085,-1.1975570593335183,-1.2672530129531479
2016-04-22,-1.7404345719804963,-1.962478370055901,-1.545774280024393,-0.5886143408788299,-1.9406546261214725,-2.48236000012765,0.15389996469439418,-1.672346339590256,-0.8148476112656158,0.8337677609356519,-1.6809202619495605,-1.4259766477090923,-1.9266989204290625,-1.8845466910321456,-2.191467360282919,-1.6226486020948871,-1.7248776370254846,-0.951562434734873,-1.5981710159561158,-1.6382799594539248,-2.5111060895490027,-2.017193304756851,-2.1747026316298292,-1.2765397000724512,-1.7121572249114163,-1.8395438606925696,-0.9502858666008698,-1.37405447525316,-1.1909568694808468,-1.2502707198812637
2016-04-25,-1.7037951579218238,-1.9869863338232756,-1.5956580098236817,-0.5181237183427914,-1.9560435662842728,-2.338240586283938,0.10157570426264853,-1.7190646601496602,-0.9533734533549764,0.7671307356333591,-1.798362699919577,-1.453058432981047,-1.9533934154774166,-1.9219365580521388,-2.219960312874489,-1.6846895555402794,-1.758728731228826,-0.9761254081493332,-1.6204148196490196,-1.6176017436269685,-2.501945044517665,-2.0546617362641943,-2.44084477073401,-1.2604989519377627,-1.7226031067271639,-1.821631129706774,-0.94291765940668,-1.4078654462074183,-1.2041653006398743,-1.3135504086075696
2016-04-26,-1.8439381655182867,-2.0589627089070714,-1.620195605155467,-0.4900779148592128,-1.9483463532203613,-2.6190761458602623,0.18002658149109457,-1.6462806267041705,-0.7685420405053138,0.7919445981439741,-1.4960783838761404,-1.4259766477090923,-1.9295768812709817,-1.8895105464154491,-2.216597724269952,-1.656581570482355,-1.709229749781661,-0.8848271403619298,-1.647650428883911,-1.6597215359556832,-2.5004220052330037,-2.004166954882975,-2.3327002318256342,-1.286576166910449,-1.7088823779881603,-1.878301605385759,-1.0559443898425596,-1.4108823439703617,-1.239505492092224,-1.3355914966956803
2016-04-27,-1.876941880825863,-2.0519415192906645,-1.6507938125717474,-0.45601311923066334,-1.9099537888884277,-2.561867457943982,0.39567039149205846,-1.5023683465355524,-0.7655367341374254,0.8718187307854011,-1.327846970136758,-1.4346608712209101,-1.9166378745987447,-1.9069356997823879,-2.194692614622055,-1.6163297792271476,-1.6816488740862994,-0.8826117708019225,-1.9001174382685442,-1.6915144510290903,-2.4587880351303038,-1.9809323194825135,-2.2980269728602605,-1.2464934281682514,-1.7519923064366352,-1.8915736648836936,-1.0395507567586724,-1.4282718443720706,-1.2505817196562548,-1.302555311604823
2016-04-28,-2.017351303832874,-1.6432780555591757,-1.667721973374129,-0.56564449917411,-1.9329708206745915,-2.5526412712363302,0.28419709777081253,-1.6360597698256338,-0.8097940991003976,0.8252074862525166,-1.584000566327218,-1.4725176107904714,-1.9533934154774166,-1.9647691943648902,-2.245402416493433,-1.7148100473967907,-1.747897162291945,-0.9985059739820024,-2.021399238087444,-1.7586544814430896,-2.5146815758887326,-2.088740775354357,-2.3578754122479033,-1.3511221911423132,-1.7740266827049107,-1.9191007431324738,-1.0429617498824248,-1.390553240740371,-1.270565360522909,-1.3724806226981912
