method,mode,period,max_lag,K,alpha,n_edges,density
granger,log_price,0,1,none,0.001,11,0.01264367816091954
granger,log_price,0,1,none,0.005,25,0.028735632183908046
granger,log_price,0,1,none,0.01,32,0.0367816091954023
granger,log_price,0,1,none,0.02,41,0.047126436781609195
granger,log_price,0,1,none,0.05,82,0.09425287356321839
granger,log_price,0,1,none,0.1,146,0.167816091954023
granger,log_price,0,1,none,0.2,248,0.2850574712643678
granger,log_price,0,1,none,0.3,342,0.3931034482758621
granger,log_price,0,1,none,0.5,487,0.5597701149425287
granger,log_price,0,1,5,0.001,8,0.009195402298850575
granger,log_price,0,1,5,0.005,14,0.016091954022988506
granger,log_price,0,1,5,0.01,20,0.022988505747126436
granger,log_price,0,1,5,0.02,25,0.028735632183908046
granger,log_price,0,1,5,0.05,57,0.06551724137931035
granger,log_price,0,1,5,0.1,94,0.10804597701149425
granger,log_price,0,1,5,0.2,131,0.15057471264367817
granger,log_price,0,1,5,0.3,141,0.16206896551724137
granger,log_price,0,1,5,0.5,150,0.1724137931034483
granger,log_price,0,1,4,0.001,7,0.008045977011494253
granger,log_price,0,1,4,0.005,13,0.014942528735632184
granger,log_price,0,1,4,0.01,18,0.020689655172413793
granger,log_price,0,1,4,0.02,22,0.02528735632183908
granger,log_price,0,1,4,0.05,53,0.06091954022988506
granger,log_price,0,1,4,0.1,85,0.09770114942528736
granger,log_price,0,1,4,0.2,109,0.12528735632183907
granger,log_price,0,1,4,0.3,114,0.1310344827586207
granger,log_price,0,1,4,0.5,120,0.13793103448275862
granger,log_price,0,2,none,0.001,8,0.009195402298850575
granger,log_price,0,2,none,0.005,19,0.021839080459770115
granger,log_price,0,2,none,0.01,27,0.03103448275862069
granger,log_price,0,2,none,0.02,37,0.04252873563218391
granger,log_price,0,2,none,0.05,74,0.08505747126436781
granger,log_price,0,2,none,0.1,129,0.1482758620689655
granger,log_price,0,2,none,0.2,237,0.27241379310344827
granger,log_price,0,2,none,0.3,339,0.3896551724137931
granger,log_price,0,2,none,0.5,511,0.5873563218390805
granger,log_price,0,2,5,0.001,6,0.006896551724137931
granger,log_price,0,2,5,0.005,12,0.013793103448275862
granger,log_price,0,2,5,0.01,18,0.020689655172413793
granger,log_price,0,2,5,0.02,26,0.029885057471264367
granger,log_price,0,2,5,0.05,57,0.06551724137931035
granger,log_price,0,2,5,0.1,97,0.11149425287356322
granger,log_price,0,2,5,0.2,143,0.16436781609195403
granger,log_price,0,2,5,0.3,149,0.17126436781609194
granger,log_price,0,2,5,0.5,150,0.1724137931034483
granger,log_price,0,2,4,0.001,5,0.005747126436781609
granger,log_price,0,2,4,0.005,11,0.01264367816091954
granger,log_price,0,2,4,0.01,17,0.01954022988505747
granger,log_price,0,2,4,0.02,24,0.027586206896551724
granger,log_price,0,2,4,0.05,53,0.06091954022988506
granger,log_price,0,2,4,0.1,89,0.10229885057471265
granger,log_price,0,2,4,0.2,116,0.13333333333333333
granger,log_price,0,2,4,0.3,120,0.13793103448275862
