period,ticker,source_day,target_day,F_stat,p_value,significant_05,significant_01,n_obs,q,k
0,AAPL,Tuesday,Monday,0.4544881654029993,0.7145661707484459,False,False,138,3,7
0,AAPL,Wednesday,Monday,1.4516127056325017,0.23081233096761178,False,False,138,3,7
0,AAPL,Thursday,Monday,0.4345751984217795,0.7286077416527824,False,False,138,3,7
0,AAPL,Friday,Monday,2.803090335324228,0.042410948509055024,True,False,138,3,7
0,AAPL,Monday,Tuesday,1.1350287925507683,0.3374282852008862,False,False,138,3,7
0,AAPL,Wednesday,Tuesday,0.693045544963332,0.5578736723259448,False,False,138,3,7
0,AAPL,Thursday,Tuesday,0.051228712144612776,0.9846232950110364,False,False,138,3,7
0,AAPL,Friday,Tuesday,3.36903684893685,0.020597759832891693,True,False,138,3,7
0,AAPL,Monday,Wednesday,2.8702339421314087,0.03893379314039791,True,False,138,3,7
0,AAPL,Tuesday,Wednesday,0.6810127157546717,0.5651795983472456,False,False,138,3,7
0,AAPL,Thursday,Wednesday,0.7512838973450283,0.5234948318957753,False,False,138,3,7
0,AAPL,Friday,Wednesday,0.46068674326710457,0.7102184477543547,False,False,138,3,7
0,AAPL,Monday,Thursday,2.126596432384358,0.09993329965002251,False,False,138,3,7
0,AAPL,Tuesday,Thursday,0.8546326041706934,0.4665407182837298,False,False,138,3,7
0,AAPL,Wednesday,Thursday,1.5969630148367042,0.1932237412671347,False,False,138,3,7
0,AAPL,Friday,Thursday,0.5826955189700325,0.6273889420790075,False,False,138,3,7
0,AAPL,Monday,Friday,0.5248834700472043,0.6659349715827885,False,False,138,3,7
0,AAPL,Tuesday,Friday,0.12899239982806854,0.9427353710185377,False,False,138,3,7
0,AAPL,Wednesday,Friday,0.2504312903215079,0.8609108927178446,False,False,138,3,7
0,AAPL,Thursday,Friday,1.432056451379258,0.23636570355044362,False,False,138,3,7
1,AAPL,Tuesday,Monday,0.9092990524282323,0.43850726968708975,False,False,138,3,7
1,AAPL,Wednesday,Monday,0.3520202006538916,0.7877471584436935,False,False,138,3,7
1,AAPL,Thursday,Monday,0.4048315936252571,0.7497693800658523,False,False,138,3,7
1,AAPL,Friday,Monday,6.291166817704288,0.0005076058688388008,True,True,138,3,7
1,AAPL,Monday,Tuesday,3.3539707856587095,0.020998073232325276,True,False,138,3,7
